stepId,stepTitle,resourceId,resourceTitle,resourceLink,score
step_4,"Stage 3: Speaking Preparation",ref_9878d7bf6672,"Korean Lab",http://www.koreanlab.co.kr/middle/m_index.asp?t_id=4,63.32861787312379
step_4,"Stage 3: Speaking Preparation",ref_8740aba756b9,"Korean Lab",http://www.koreanlab.co.kr/high/h_index.asp?t_id=5,63.32861787312379
step_4,"Stage 3: Speaking Preparation",ref_7589676aec61,"나는 아직 살아있다",https://ridibooks.com/books/2749005088,63.32861787312379
step_4,"Stage 3: Speaking Preparation",website_defining_the_official_spelling_rules_for_korean_aHR0cHM6,"website defining the official spelling rules for Korean",https://kornorms.korean.go.kr//regltn/regltnView.do#a,62.19361413447996
step_4,"Stage 3: Speaking Preparation",webpage_that_corrects_grammar_and_spelling_errors_aHR0cHM6,"webpage that corrects grammar and spelling errors",https://speller.cs.pusan.ac.kr/,62.19361413447996
step_4,"Stage 3: Speaking Preparation",ref_e62a7e1a1979,"website defining the official spelling rules for Korean",https://www.korean.go.kr/front/onlineQna/onlineQnaList.do?mn_id=216,62.19361413447996
step_4,"Stage 3: Speaking Preparation",ref_2188ea968b06,"website defining the official spelling rules for Korean",https://kornorms.korean.go.kr/regltn/regltnView.do?regltn_code=0002&regltn_no=346#a346,62.19361413447996
step_4,"Stage 3: Speaking Preparation",ref_104473165f1b,"webpage that corrects grammar and spelling errors",http://pronunciation.cs.pusan.ac.kr/,62.19361413447996
step_4,"Stage 3: Speaking Preparation",korean-wikibooks-pronunciation,"Korean Wikibooks - Pronunciation Rules",https://en.wikibooks.org/wiki/Korean,58.05777354390729
step_5,"Stage 4: Refine to Mastery",yonsei_korean_reading_textbooks_aHR0cHM6,"Yonsei Korean Reading textbooks",https://www.koreantopik.com/2018/04/yonsei-korean-reading-1234-pdfaudio.html,77.62635162594017
step_5,"Stage 4: Refine to Mastery",ref_b49526aaf6cf,"여신강림",https://comic.naver.com/webtoon/list.nhn?titleId=703846,68.59015113562747
step_5,"Stage 4: Refine to Mastery",korean_wikibooks_aHR0cHM6,"Korean Wikibooks",https://en.wikibooks.org/wiki/Korean/Advanced_Pronunciation_Rules,63.24155048303557
step_5,"Stage 4: Refine to Mastery",volume_4_aHR0cHM6,"Volume 4",https://amzn.to/3riUBoh,48.10077026176326
step_5,"Stage 4: Refine to Mastery",simon_choe_aHR0cHM6,"Simon Choe",https://www.youtube.com/c/ChoeSimon/videos,48.10077026176326
step_5,"Stage 4: Refine to Mastery",ref_7589676aec61,"나는 아직 살아있다",https://ridibooks.com/books/2749005088,48.10077026176326
step_5,"Stage 4: Refine to Mastery",ref_ab550c0c45da,"집꾸미기",https://www.youtube.com/channel/UChmUHlBjbIquOygkGNReCoA,48.10077026176326
step_5,"Stage 4: Refine to Mastery",korean_lab_aHR0cDov,"Korean Lab",http://www.koreanlab.co.kr/primary/p_index.asp?t_id=3,46.784721233744975
step_5,"Stage 4: Refine to Mastery",tv_aHR0cHM6,"심하윤TV",https://www.youtube.com/channel/UCedmZb6YSW5kbMtHdWKejpw,46.784721233744975
step_5,"Stage 4: Refine to Mastery",ref_9878d7bf6672,"Korean Lab",http://www.koreanlab.co.kr/middle/m_index.asp?t_id=4,46.784721233744975
step_5,"Stage 4: Refine to Mastery",ref_8740aba756b9,"Korean Lab",http://www.koreanlab.co.kr/high/h_index.asp?t_id=5,46.784721233744975
step_5,"Stage 4: Refine to Mastery",talk_to_me_in_korean_aHR0cHM6,"Talk To Me In Korean",https://talktomeinkorean.com/,35.133553257790936
