key,canonicalId,duplicateId,duplicateTitle,duplicateLink,duplicateRating
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_a8a3d315334b,"키스요괴","https://www.youtube.com/watch?v=7c8Cxk0uiEU&list=PLqqQvcAR1H0ly_FZX6CfYuMKZ2caaK6gl",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_f66083a52af7,"터치 미 이프 유캔","https://www.youtube.com/watch?v=g-cFk9U2n7g",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_6c24a6490cbd,"트리플 썸","https://www.youtube.com/watch?v=r7E7BHPsfqA",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_2d54d243a248,"악몽선생","https://www.youtube.com/watch?v=n4HxQfq69C0&list=PL4UxvmOOBaxVKBixGdFU_oJGFqx4GGBUj",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_084ca80aa3e3,"Naver","https://www.youtube.com/watch?v=jkHuU_iGT58",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_4c2d6a2f5db1,"Naver","https://www.youtube.com/watch?v=jjXulo3pHe4&list=PL07E4ngQneMlZq2H_QMBENoIpq0NTXdW5",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_40e4bcbcec8d,"Naver","https://www.youtube.com/watch?v=rCNOh5Bbt3g",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_96914854958e,"Naver","https://www.youtube.com/watch?v=XHyobX5R1Gw",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_372dc78e5101,"Naver","https://www.youtube.com/watch?v=qFSgKSa9gZE",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_55790a330021,"Naver","https://www.youtube.com/watch?v=W6OIlkw4qv0&t=1s",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_07db065a19fd,"Naver","https://www.youtube.com/watch?v=yI6D-PlZOEk",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_8da4cd4b6ea2,"Naver","https://www.youtube.com/watch?v=t8a9TYRAw6w&t=90s",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_9921ec33f5a6,"Naver","https://www.youtube.com/watch?v=y39pQsbRzkw",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_a22837ea49a3,"Ridibooks","https://www.youtube.com/watch?v=XKU-9ndU9Ng",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_0b2935a6f280,"https://www.vlive.tv/video/195373","https://www.youtube.com/watch?v=WvQmPZpHx_8&list=PLqqQvcAR1H0lvElJjtKv5x6qFq8NPP-fw",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_a9b33d3af8a4,"네 맛대로 하는 연애","https://www.youtube.com/watch?v=0jRCAIi-uCg",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_353d4cb63e29,"달고나","https://www.youtube.com/watch?v=1a9fn-3xOEc",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_a948261e8524,"또 한번 엔딩","https://www.youtube.com/watch?v=q1Z3hUbdY40",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_0c0dcbdbf657,"로맨스 토킹","https://www.youtube.com/watch?v=cYsSQQ_l_bQ",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_e0f7c1e7903b,"리필","https://www.youtube.com/watch?v=_8Vl9kc0hDw&list=PL920OTfqSyze8B5yIr2Ln_4uvy8BMyXmi",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_91184301ae41,"비밀의 비밀","https://www.youtube.com/watch?v=H-gfiXOnboA",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_110a0385ec07,"썸웨이","https://www.youtube.com/watch?v=LFnJ20wqyPk&list=PLQ0f_g2mQlLex9NbFJNngPRGkotfmgtZ5",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_71ddf5b56d06,"어서오세요, 미녀상점","https://www.youtube.com/watch?v=-zsLnWWg4RA&list=PL8g_6wQttkwGvxk1uPk6UVqzshc5Dha3z",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_076745ba339f,"오늘도 덕질하세요","https://www.youtube.com/watch?v=sMrNBQDPLrk",
https:/www.youtube.com/watch,dating_class_aHR0cHM6,ref_8c8ca6b69efb,"우웅우웅","https://www.youtube.com/watch?v=7M9V1Y7MOT0&list=PLqqQvcAR1H0nvfZQrguA97s3NpWgCcC1I",
